x1,x2,y
0,1000,4503.858
1,1001,4512.639
2,1002,4512.902
3,1003,4522.39
4,1004,4527.012
5,1005,4538.995
6,1006,4547.49
7,1007,4540.52
8,1008,4557.634
9,1009,4567.114
10,1010,4568.221
11,1011,4563.514
12,1012,4587.546
13,1013,4575.875
14,1014,4583.198
15,1015,4604.647
16,1016,4606.474
17,1017,4606.644
18,1018,4621.043
19,1019,4633.253
20,1020,4628.835
21,1021,4640.928
22,1022,4634.117
23,1023,4640.556
24,1024,4649.204
25,1025,4655.637
26,1026,4671.472
27,1027,4667.264
28,1028,4685.887
29,1029,4695.166
30,1030,4692.226
31,1031,4702.327
32,1032,4713.946
33,1033,4707.588
34,1034,4720.953
35,1035,4737.121
36,1036,4735.344
37,1037,4747.772
38,1038,4754.294
39,1039,4753.714
40,1040,4755.304
41,1041,4771.625
42,1042,4767.687
43,1043,4782.429
44,1044,4788.658
45,1045,4795.402
46,1046,4806.466
47,1047,4806.978
48,1048,4821.662
49,1049,4827.261
50,1050,4830.967
51,1051,4839.449
52,1052,4835.866
53,1053,4844.27
54,1054,4842.574
55,1055,4851.275
56,1056,4855.303
57,1057,4862.152
58,1058,4868.901
59,1059,4884.929
60,1060,4890.839
61,1061,4906.253
62,1062,4909.685
63,1063,4916.6
64,1064,4908.734
65,1065,4916.345
66,1066,4920.942
67,1067,4937.358
68,1068,4937.582
69,1069,4940.508
70,1070,4957.667
71,1071,4966.195
72,1072,4963.819
73,1073,4978.157
74,1074,4984.392
75,1075,4981.097
76,1076,4993.64
77,1077,5009.115
78,1078,5012.212
79,1079,5016.803
80,1080,5012.072
81,1081,5031.119
82,1082,5023.339
83,1083,5034.337
84,1084,5050.39
85,1085,5052.883
86,1086,5068.999
87,1087,5057.178
88,1088,5064.382
89,1089,5073.731
90,1090,5077.659
91,1091,5083.784
92,1092,5103.851
93,1093,5105.736
94,1094,5116.588
95,1095,5112.439
96,1096,5124.965
97,1097,5139.686
98,1098,5137.832
99,1099,5149.127
